Algorithm,Implementation,Thread Count,Elements,Time
TimSort, OpenMP, 1, 2, 0.000002
TimSort, OpenMP, 2, 2, 0.000521
TimSort, OpenMP, 4, 2, 0.003321
TimSort, OpenMP, 8, 2, 0.006615
TimSort, OpenMP, 16, 2, 0.003156
TimSort, OpenMP, 32, 2, 0.005528
Bitonic Sort, OpenMP, 1, 2, 0.000002
Bitonic Sort, OpenMP, 2, 2, 0.000395
Bitonic Sort, OpenMP, 4, 2, 0.006097
Bitonic Sort, OpenMP, 8, 2, 0.010360
Bitonic Sort, OpenMP, 16, 2, 0.007828
Bitonic Sort, OpenMP, 32, 2, 0.006922
MergeSort, OpenMP, 1, 2, 0.000003
MergeSort, OpenMP, 2, 2, 0.000221
MergeSort, OpenMP, 4, 2, 0.002547
MergeSort, OpenMP, 8, 2, 0.007618
MergeSort, OpenMP, 16, 2, 0.002438
MergeSort, OpenMP, 32, 2, 0.004813
QuickSort, OpenMP, 1, 2, 0.000002
QuickSort, OpenMP, 2, 2, 0.000209
QuickSort, OpenMP, 4, 2, 0.003446
QuickSort, OpenMP, 8, 2, 0.007293
QuickSort, OpenMP, 16, 2, 0.003506
QuickSort, OpenMP, 32, 2, 0.004905
Sample Sort, OpenMP, 1, 2, 0.000000
Sample Sort, OpenMP, 2, 2, 0.000000
Sample Sort, OpenMP, 4, 2, 0.000000
Sample Sort, OpenMP, 8, 2, 0.000000
Sample Sort, OpenMP, 16, 2, 0.000000
Sample Sort, OpenMP, 32, 2, 0.000000
TimSort, OpenMP, 1, 4, 0.000003
TimSort, OpenMP, 2, 4, 0.000635
TimSort, OpenMP, 4, 4, 0.004169
TimSort, OpenMP, 8, 4, 0.009495
TimSort, OpenMP, 16, 4, 0.002348
TimSort, OpenMP, 32, 4, 0.005019
Bitonic Sort, OpenMP, 1, 4, 0.000004
Bitonic Sort, OpenMP, 2, 4, 0.000588
Bitonic Sort, OpenMP, 4, 4, 0.003076
Bitonic Sort, OpenMP, 8, 4, 0.003694
Bitonic Sort, OpenMP, 16, 4, 0.004253
Bitonic Sort, OpenMP, 32, 4, 0.005788
MergeSort, OpenMP, 1, 4, 0.000005
MergeSort, OpenMP, 2, 4, 0.000781
MergeSort, OpenMP, 4, 4, 0.003073
MergeSort, OpenMP, 8, 4, 0.007195
MergeSort, OpenMP, 16, 4, 0.003259
MergeSort, OpenMP, 32, 4, 0.005261
QuickSort, OpenMP, 1, 4, 0.000004
QuickSort, OpenMP, 2, 4, 0.000678
QuickSort, OpenMP, 4, 4, 0.004359
QuickSort, OpenMP, 8, 4, 0.004159
QuickSort, OpenMP, 16, 4, 0.002896
QuickSort, OpenMP, 32, 4, 0.009299
Sample Sort, OpenMP, 1, 4, 0.000000
Sample Sort, OpenMP, 2, 4, 0.000000
Sample Sort, OpenMP, 4, 4, 0.000000
Sample Sort, OpenMP, 8, 4, 0.000000
Sample Sort, OpenMP, 16, 4, 0.000000
Sample Sort, OpenMP, 32, 4, 0.000000
TimSort, OpenMP, 1, 8, 0.000002
TimSort, OpenMP, 2, 8, 0.000179
TimSort, OpenMP, 4, 8, 0.004925
TimSort, OpenMP, 8, 8, 0.003937
TimSort, OpenMP, 16, 8, 0.003687
TimSort, OpenMP, 32, 8, 0.004895
Bitonic Sort, OpenMP, 1, 8, 0.000006
Bitonic Sort, OpenMP, 2, 8, 0.002934
Bitonic Sort, OpenMP, 4, 8, 0.003858
Bitonic Sort, OpenMP, 8, 8, 0.004664
Bitonic Sort, OpenMP, 16, 8, 0.003255
Bitonic Sort, OpenMP, 32, 8, 0.009279
MergeSort, OpenMP, 1, 8, 0.000005
MergeSort, OpenMP, 2, 8, 0.000260
MergeSort, OpenMP, 4, 8, 0.001686
MergeSort, OpenMP, 8, 8, 0.004602
MergeSort, OpenMP, 16, 8, 0.002094
MergeSort, OpenMP, 32, 8, 0.004303
QuickSort, OpenMP, 1, 8, 0.000035
QuickSort, OpenMP, 2, 8, 0.000292
QuickSort, OpenMP, 4, 8, 0.002155
QuickSort, OpenMP, 8, 8, 0.002788
QuickSort, OpenMP, 16, 8, 0.002826
QuickSort, OpenMP, 32, 8, 0.003431
Sample Sort, OpenMP, 1, 8, 0.000001
Sample Sort, OpenMP, 2, 8, 0.000000
Sample Sort, OpenMP, 4, 8, 0.000000
Sample Sort, OpenMP, 8, 8, 0.000000
Sample Sort, OpenMP, 16, 8, 0.000000
Sample Sort, OpenMP, 32, 8, 0.000000
TimSort, OpenMP, 1, 16, 0.000002
TimSort, OpenMP, 2, 16, 0.001399
TimSort, OpenMP, 4, 16, 0.005705
TimSort, OpenMP, 8, 16, 0.006412
TimSort, OpenMP, 16, 16, 0.003327
TimSort, OpenMP, 32, 16, 0.005718
Bitonic Sort, OpenMP, 1, 16, 0.000537
Bitonic Sort, OpenMP, 2, 16, 0.001103
Bitonic Sort, OpenMP, 4, 16, 0.005474
Bitonic Sort, OpenMP, 8, 16, 0.005152
Bitonic Sort, OpenMP, 16, 16, 0.003209
