Algorithm,Implementation,Thread Count,Elements,Time
TimSort, OpenMP, 1, 32768, 0.002232
TimSort, OpenMP, 2, 32768, 0.001361
TimSort, OpenMP, 3, 32768, 0.001541
TimSort, OpenMP, 4, 32768, 0.001539
TimSort, OpenMP, 5, 32768, 0.001245
TimSort, OpenMP, 6, 32768, 0.001727
TimSort, OpenMP, 7, 32768, 0.001548
TimSort, OpenMP, 8, 32768, 0.002420
TimSort, OpenMP, 16, 32768, 0.004075
TimSort, OpenMP, 32, 32768, 0.003914
Bitonic Sort, OpenMP, 1, 32768, 0.006498
Bitonic Sort, OpenMP, 2, 32768, 0.004739
Bitonic Sort, OpenMP, 3, 32768, 0.003140
Bitonic Sort, OpenMP, 4, 32768, 0.003873
Bitonic Sort, OpenMP, 5, 32768, 0.002641
Bitonic Sort, OpenMP, 6, 32768, 0.002482
Bitonic Sort, OpenMP, 7, 32768, 0.003125
Bitonic Sort, OpenMP, 8, 32768, 0.002843
Bitonic Sort, OpenMP, 16, 32768, 0.003338
Bitonic Sort, OpenMP, 32, 32768, 0.005175
MergeSort, OpenMP, 1, 32768, 0.003200
MergeSort, OpenMP, 2, 32768, 0.002355
MergeSort, OpenMP, 3, 32768, 0.001681
MergeSort, OpenMP, 4, 32768, 0.001667
MergeSort, OpenMP, 5, 32768, 0.001498
MergeSort, OpenMP, 6, 32768, 0.001518
MergeSort, OpenMP, 7, 32768, 0.001543
MergeSort, OpenMP, 8, 32768, 0.002589
MergeSort, OpenMP, 16, 32768, 0.003977
MergeSort, OpenMP, 32, 32768, 0.004305
QuickSort, OpenMP, 1, 32768, 0.009194
QuickSort, OpenMP, 2, 32768, 0.008868
QuickSort, OpenMP, 3, 32768, 0.008583
QuickSort, OpenMP, 4, 32768, 0.008965
QuickSort, OpenMP, 5, 32768, 0.006944
QuickSort, OpenMP, 6, 32768, 0.005560
QuickSort, OpenMP, 7, 32768, 0.006650
QuickSort, OpenMP, 8, 32768, 0.008603
QuickSort, OpenMP, 16, 32768, 0.006813
QuickSort, OpenMP, 32, 32768, 0.007809
Sample Sort, OpenMP, 1, 32768, 0.004108
Sample Sort, OpenMP, 2, 32768, 0.005069
Sample Sort, OpenMP, 3, 32768, 0.003963
Sample Sort, OpenMP, 4, 32768, 0.004648
Sample Sort, OpenMP, 5, 32768, 0.004609
Sample Sort, OpenMP, 6, 32768, 0.003366
Sample Sort, OpenMP, 7, 32768, 0.005044
Sample Sort, OpenMP, 8, 32768, 0.003731
Sample Sort, OpenMP, 16, 32768, 0.004696
Sample Sort, OpenMP, 32, 32768, 0.005206
TimSort, OpenMP, 1, 32768, 0.001979
TimSort, OpenMP, 2, 32768, 0.001545
TimSort, OpenMP, 3, 32768, 0.001451
TimSort, OpenMP, 4, 32768, 0.001298
TimSort, OpenMP, 5, 32768, 0.001277
TimSort, OpenMP, 6, 32768, 0.001429
TimSort, OpenMP, 7, 32768, 0.001474
TimSort, OpenMP, 8, 32768, 0.002452
TimSort, OpenMP, 16, 32768, 0.002536
TimSort, OpenMP, 32, 32768, 0.004192
Bitonic Sort, OpenMP, 1, 32768, 0.006316
Bitonic Sort, OpenMP, 2, 32768, 0.004094
Bitonic Sort, OpenMP, 3, 32768, 0.003018
Bitonic Sort, OpenMP, 4, 32768, 0.002736
Bitonic Sort, OpenMP, 5, 32768, 0.002575
Bitonic Sort, OpenMP, 6, 32768, 0.002608
Bitonic Sort, OpenMP, 7, 32768, 0.002517
Bitonic Sort, OpenMP, 8, 32768, 0.002527
Bitonic Sort, OpenMP, 16, 32768, 0.003772
Bitonic Sort, OpenMP, 32, 32768, 0.004929
MergeSort, OpenMP, 1, 32768, 0.003250
MergeSort, OpenMP, 2, 32768, 0.002203
MergeSort, OpenMP, 3, 32768, 0.002800
MergeSort, OpenMP, 4, 32768, 0.001681
MergeSort, OpenMP, 5, 32768, 0.001731
MergeSort, OpenMP, 6, 32768, 0.001397
MergeSort, OpenMP, 7, 32768, 0.001462
MergeSort, OpenMP, 8, 32768, 0.001481
MergeSort, OpenMP, 16, 32768, 0.002504
MergeSort, OpenMP, 32, 32768, 0.004006
QuickSort, OpenMP, 1, 32768, 0.009481
QuickSort, OpenMP, 2, 32768, 0.009265
QuickSort, OpenMP, 3, 32768, 0.008925
QuickSort, OpenMP, 4, 32768, 0.007866
QuickSort, OpenMP, 5, 32768, 0.008572
QuickSort, OpenMP, 6, 32768, 0.005884
QuickSort, OpenMP, 7, 32768, 0.007669
QuickSort, OpenMP, 8, 32768, 0.006016
QuickSort, OpenMP, 16, 32768, 0.008804
QuickSort, OpenMP, 32, 32768, 0.006490
Sample Sort, OpenMP, 1, 32768, 0.004384
Sample Sort, OpenMP, 2, 32768, 0.004980
Sample Sort, OpenMP, 3, 32768, 0.004933
Sample Sort, OpenMP, 4, 32768, 0.004132
Sample Sort, OpenMP, 5, 32768, 0.004500
Sample Sort, OpenMP, 6, 32768, 0.004725
Sample Sort, OpenMP, 7, 32768, 0.005001
Sample Sort, OpenMP, 8, 32768, 0.005681
Sample Sort, OpenMP, 16, 32768, 0.004242
Sample Sort, OpenMP, 32, 32768, 0.003852
TimSort, OpenMP, 1, 32768, 0.001940
TimSort, OpenMP, 2, 32768, 0.001877
TimSort, OpenMP, 3, 32768, 0.001301
TimSort, OpenMP, 4, 32768, 0.001335
TimSort, OpenMP, 5, 32768, 0.001249
TimSort, OpenMP, 6, 32768, 0.001269
TimSort, OpenMP, 7, 32768, 0.001388
TimSort, OpenMP, 8, 32768, 0.002015
TimSort, OpenMP, 16, 32768, 0.004051
TimSort, OpenMP, 32, 32768, 0.004469
Bitonic Sort, OpenMP, 1, 32768, 0.006392
Bitonic Sort, OpenMP, 2, 32768, 0.004139
Bitonic Sort, OpenMP, 3, 32768, 0.003083
Bitonic Sort, OpenMP, 4, 32768, 0.002836
Bitonic Sort, OpenMP, 5, 32768, 0.002385
Bitonic Sort, OpenMP, 6, 32768, 0.002312
Bitonic Sort, OpenMP, 7, 32768, 0.002370
Bitonic Sort, OpenMP, 8, 32768, 0.002792
Bitonic Sort, OpenMP, 16, 32768, 0.003186
Bitonic Sort, OpenMP, 32, 32768, 0.004381
MergeSort, OpenMP, 1, 32768, 0.003163
MergeSort, OpenMP, 2, 32768, 0.003431
MergeSort, OpenMP, 3, 32768, 0.001730
MergeSort, OpenMP, 4, 32768, 0.001588
MergeSort, OpenMP, 5, 32768, 0.001459
MergeSort, OpenMP, 6, 32768, 0.001470
MergeSort, OpenMP, 7, 32768, 0.001647
MergeSort, OpenMP, 8, 32768, 0.002625
MergeSort, OpenMP, 16, 32768, 0.004092
MergeSort, OpenMP, 32, 32768, 0.004036
QuickSort, OpenMP, 1, 32768, 0.009263
QuickSort, OpenMP, 2, 32768, 0.007346
QuickSort, OpenMP, 3, 32768, 0.006980
QuickSort, OpenMP, 4, 32768, 0.005123
QuickSort, OpenMP, 5, 32768, 0.007156
QuickSort, OpenMP, 6, 32768, 0.008168
QuickSort, OpenMP, 7, 32768, 0.007904
QuickSort, OpenMP, 8, 32768, 0.006889
QuickSort, OpenMP, 16, 32768, 0.008272
QuickSort, OpenMP, 32, 32768, 0.010124
Sample Sort, OpenMP, 1, 32768, 0.003967
Sample Sort, OpenMP, 2, 32768, 0.004885
Sample Sort, OpenMP, 3, 32768, 0.003359
Sample Sort, OpenMP, 4, 32768, 0.004484
Sample Sort, OpenMP, 5, 32768, 0.005006
Sample Sort, OpenMP, 6, 32768, 0.004514
Sample Sort, OpenMP, 7, 32768, 0.004837
Sample Sort, OpenMP, 8, 32768, 0.005306
Sample Sort, OpenMP, 16, 32768, 0.004219
Sample Sort, OpenMP, 32, 32768, 0.004972
TimSort, OpenMP, 1, 32768, 0.001917
TimSort, OpenMP, 2, 32768, 0.002296
TimSort, OpenMP, 3, 32768, 0.001267
TimSort, OpenMP, 4, 32768, 0.001212
TimSort, OpenMP, 5, 32768, 0.001351
TimSort, OpenMP, 6, 32768, 0.001378
TimSort, OpenMP, 7, 32768, 0.001567
TimSort, OpenMP, 8, 32768, 0.002129
TimSort, OpenMP, 16, 32768, 0.004017
TimSort, OpenMP, 32, 32768, 0.003428
Bitonic Sort, OpenMP, 1, 32768, 0.006558
Bitonic Sort, OpenMP, 2, 32768, 0.004405
Bitonic Sort, OpenMP, 3, 32768, 0.002999
Bitonic Sort, OpenMP, 4, 32768, 0.003053
Bitonic Sort, OpenMP, 5, 32768, 0.002657
Bitonic Sort, OpenMP, 6, 32768, 0.003327
Bitonic Sort, OpenMP, 7, 32768, 0.002862
Bitonic Sort, OpenMP, 8, 32768, 0.002660
Bitonic Sort, OpenMP, 16, 32768, 0.005113
Bitonic Sort, OpenMP, 32, 32768, 0.003802
MergeSort, OpenMP, 1, 32768, 0.003228
MergeSort, OpenMP, 2, 32768, 0.002330
