Algorithm,Implementation,Thread Count,Elements,Time
TimSort, OpenMP, 1, 32768, 0.003692
TimSort, OpenMP, 2, 32768, 0.003515
TimSort, OpenMP, 3, 32768, 0.002384
TimSort, OpenMP, 4, 32768, 0.003998
TimSort, OpenMP, 5, 32768, 0.005579
TimSort, OpenMP, 6, 32768, 0.002846
TimSort, OpenMP, 7, 32768, 0.005906
TimSort, OpenMP, 8, 32768, 0.007001
TimSort, OpenMP, 16, 32768, 0.010020
TimSort, OpenMP, 32, 32768, 0.013428
Bitonic Sort, OpenMP, 1, 32768, 0.035923
Bitonic Sort, OpenMP, 2, 32768, 0.023580
Bitonic Sort, OpenMP, 3, 32768, 0.015795
Bitonic Sort, OpenMP, 4, 32768, 0.019654
Bitonic Sort, OpenMP, 5, 32768, 0.016129
Bitonic Sort, OpenMP, 6, 32768, 0.014243
Bitonic Sort, OpenMP, 7, 32768, 0.013889
Bitonic Sort, OpenMP, 8, 32768, 0.021199
Bitonic Sort, OpenMP, 16, 32768, 0.017282
Bitonic Sort, OpenMP, 32, 32768, 0.029501
MergeSort, OpenMP, 1, 32768, 0.006049
MergeSort, OpenMP, 2, 32768, 0.005729
MergeSort, OpenMP, 3, 32768, 0.005372
MergeSort, OpenMP, 4, 32768, 0.004537
MergeSort, OpenMP, 5, 32768, 0.003653
MergeSort, OpenMP, 6, 32768, 0.009216
MergeSort, OpenMP, 7, 32768, 0.008845
MergeSort, OpenMP, 8, 32768, 0.004530
MergeSort, OpenMP, 16, 32768, 0.006156
MergeSort, OpenMP, 32, 32768, 0.022923
QuickSort, OpenMP, 1, 32768, 0.015036
QuickSort, OpenMP, 2, 32768, 0.015224
QuickSort, OpenMP, 3, 32768, 0.013611
QuickSort, OpenMP, 4, 32768, 0.016798
QuickSort, OpenMP, 5, 32768, 0.014405
QuickSort, OpenMP, 6, 32768, 0.008474
QuickSort, OpenMP, 7, 32768, 0.013401
QuickSort, OpenMP, 8, 32768, 0.016579
QuickSort, OpenMP, 16, 32768, 0.015029
QuickSort, OpenMP, 32, 32768, 0.016928
Sample Sort, OpenMP, 1, 32768, 0.006202
Sample Sort, OpenMP, 2, 32768, 0.008137
Sample Sort, OpenMP, 3, 32768, 0.007626
Sample Sort, OpenMP, 4, 32768, 0.009592
Sample Sort, OpenMP, 5, 32768, 0.010190
Sample Sort, OpenMP, 6, 32768, 0.010430
Sample Sort, OpenMP, 7, 32768, 0.011546
Sample Sort, OpenMP, 8, 32768, 0.010333
Sample Sort, OpenMP, 16, 32768, 0.009908
Sample Sort, OpenMP, 32, 32768, 0.014182
TimSort, OpenMP, 1, 32768, 0.005328
TimSort, OpenMP, 2, 32768, 0.004642
TimSort, OpenMP, 3, 32768, 0.004187
TimSort, OpenMP, 4, 32768, 0.004022
TimSort, OpenMP, 5, 32768, 0.003372
TimSort, OpenMP, 6, 32768, 0.009217
TimSort, OpenMP, 7, 32768, 0.009664
TimSort, OpenMP, 8, 32768, 0.011455
TimSort, OpenMP, 16, 32768, 0.010613
TimSort, OpenMP, 32, 32768, 0.022963
Bitonic Sort, OpenMP, 1, 32768, 0.021078
Bitonic Sort, OpenMP, 2, 32768, 0.016247
Bitonic Sort, OpenMP, 3, 32768, 0.019284
Bitonic Sort, OpenMP, 4, 32768, 0.012513
Bitonic Sort, OpenMP, 5, 32768, 0.013182
Bitonic Sort, OpenMP, 6, 32768, 0.013494
Bitonic Sort, OpenMP, 7, 32768, 0.012163
Bitonic Sort, OpenMP, 8, 32768, 0.013550
Bitonic Sort, OpenMP, 16, 32768, 0.013489
Bitonic Sort, OpenMP, 32, 32768, 0.019972
MergeSort, OpenMP, 1, 32768, 0.006178
MergeSort, OpenMP, 2, 32768, 0.004729
MergeSort, OpenMP, 3, 32768, 0.004340
MergeSort, OpenMP, 4, 32768, 0.003608
MergeSort, OpenMP, 5, 32768, 0.003525
MergeSort, OpenMP, 6, 32768, 0.005041
MergeSort, OpenMP, 7, 32768, 0.004133
MergeSort, OpenMP, 8, 32768, 0.008161
MergeSort, OpenMP, 16, 32768, 0.008382
MergeSort, OpenMP, 32, 32768, 0.011627
QuickSort, OpenMP, 1, 32768, 0.014515
QuickSort, OpenMP, 2, 32768, 0.013152
QuickSort, OpenMP, 3, 32768, 0.013002
QuickSort, OpenMP, 4, 32768, 0.014702
QuickSort, OpenMP, 5, 32768, 0.015677
QuickSort, OpenMP, 6, 32768, 0.015003
QuickSort, OpenMP, 7, 32768, 0.011433
QuickSort, OpenMP, 8, 32768, 0.011161
QuickSort, OpenMP, 16, 32768, 0.014070
QuickSort, OpenMP, 32, 32768, 0.015571
Sample Sort, OpenMP, 1, 32768, 0.005925
Sample Sort, OpenMP, 2, 32768, 0.007618
Sample Sort, OpenMP, 3, 32768, 0.006821
Sample Sort, OpenMP, 4, 32768, 0.007990
Sample Sort, OpenMP, 5, 32768, 0.011377
Sample Sort, OpenMP, 6, 32768, 0.008237
Sample Sort, OpenMP, 7, 32768, 0.011645
Sample Sort, OpenMP, 8, 32768, 0.013009
Sample Sort, OpenMP, 16, 32768, 0.012437
Sample Sort, OpenMP, 32, 32768, 0.013211
TimSort, OpenMP, 1, 32768, 0.004898
TimSort, OpenMP, 2, 32768, 0.002567
TimSort, OpenMP, 3, 32768, 0.002245
TimSort, OpenMP, 4, 32768, 0.004779
TimSort, OpenMP, 5, 32768, 0.002599
TimSort, OpenMP, 6, 32768, 0.004283
TimSort, OpenMP, 7, 32768, 0.004988
TimSort, OpenMP, 8, 32768, 0.006386
TimSort, OpenMP, 16, 32768, 0.011546
TimSort, OpenMP, 32, 32768, 0.016443
Bitonic Sort, OpenMP, 1, 32768, 0.023881
Bitonic Sort, OpenMP, 2, 32768, 0.017264
Bitonic Sort, OpenMP, 3, 32768, 0.014155
Bitonic Sort, OpenMP, 4, 32768, 0.011821
Bitonic Sort, OpenMP, 5, 32768, 0.012010
Bitonic Sort, OpenMP, 6, 32768, 0.014685
Bitonic Sort, OpenMP, 7, 32768, 0.010100
Bitonic Sort, OpenMP, 8, 32768, 0.011325
Bitonic Sort, OpenMP, 16, 32768, 0.014540
Bitonic Sort, OpenMP, 32, 32768, 0.015362
MergeSort, OpenMP, 1, 32768, 0.005515
MergeSort, OpenMP, 2, 32768, 0.005324
MergeSort, OpenMP, 3, 32768, 0.005456
MergeSort, OpenMP, 4, 32768, 0.003222
MergeSort, OpenMP, 5, 32768, 0.005071
MergeSort, OpenMP, 6, 32768, 0.008475
MergeSort, OpenMP, 7, 32768, 0.007962
MergeSort, OpenMP, 8, 32768, 0.004515
MergeSort, OpenMP, 16, 32768, 0.006696
MergeSort, OpenMP, 32, 32768, 0.010242
QuickSort, OpenMP, 1, 32768, 0.015705
QuickSort, OpenMP, 2, 32768, 0.018475
QuickSort, OpenMP, 3, 32768, 0.009592
QuickSort, OpenMP, 4, 32768, 0.012774
QuickSort, OpenMP, 5, 32768, 0.012067
QuickSort, OpenMP, 6, 32768, 0.011044
QuickSort, OpenMP, 7, 32768, 0.011725
QuickSort, OpenMP, 8, 32768, 0.015570
QuickSort, OpenMP, 16, 32768, 0.019855
QuickSort, OpenMP, 32, 32768, 0.039718
Sample Sort, OpenMP, 1, 32768, 0.006170
Sample Sort, OpenMP, 2, 32768, 0.009285
Sample Sort, OpenMP, 3, 32768, 0.008425
Sample Sort, OpenMP, 4, 32768, 0.006191
Sample Sort, OpenMP, 5, 32768, 0.009409
Sample Sort, OpenMP, 6, 32768, 0.010710
Sample Sort, OpenMP, 7, 32768, 0.007791
Sample Sort, OpenMP, 8, 32768, 0.016768
Sample Sort, OpenMP, 16, 32768, 0.009481
Sample Sort, OpenMP, 32, 32768, 0.017210
TimSort, OpenMP, 1, 32768, 0.004066
TimSort, OpenMP, 2, 32768, 0.004218
TimSort, OpenMP, 3, 32768, 0.004147
TimSort, OpenMP, 4, 32768, 0.002775
TimSort, OpenMP, 5, 32768, 0.002671
TimSort, OpenMP, 6, 32768, 0.003838
TimSort, OpenMP, 7, 32768, 0.003832
TimSort, OpenMP, 8, 32768, 0.004914
TimSort, OpenMP, 16, 32768, 0.005673
TimSort, OpenMP, 32, 32768, 0.012699
Bitonic Sort, OpenMP, 1, 32768, 0.029215
Bitonic Sort, OpenMP, 2, 32768, 0.016418
Bitonic Sort, OpenMP, 3, 32768, 0.016460
Bitonic Sort, OpenMP, 4, 32768, 0.013042
Bitonic Sort, OpenMP, 5, 32768, 0.010856
Bitonic Sort, OpenMP, 6, 32768, 0.013251
Bitonic Sort, OpenMP, 7, 32768, 0.012020
Bitonic Sort, OpenMP, 8, 32768, 0.010790
Bitonic Sort, OpenMP, 16, 32768, 0.013761
Bitonic Sort, OpenMP, 32, 32768, 0.020544
MergeSort, OpenMP, 1, 32768, 0.005877
MergeSort, OpenMP, 2, 32768, 0.004974
MergeSort, OpenMP, 3, 32768, 0.005662
MergeSort, OpenMP, 4, 32768, 0.003254
MergeSort, OpenMP, 5, 32768, 0.004247
MergeSort, OpenMP, 6, 32768, 0.007321
MergeSort, OpenMP, 7, 32768, 0.002823
MergeSort, OpenMP, 8, 32768, 0.005280
MergeSort, OpenMP, 16, 32768, 0.006099
MergeSort, OpenMP, 32, 32768, 0.011691
QuickSort, OpenMP, 1, 32768, 0.014198
QuickSort, OpenMP, 2, 32768, 0.011210
QuickSort, OpenMP, 3, 32768, 0.009047
QuickSort, OpenMP, 4, 32768, 0.008928
QuickSort, OpenMP, 5, 32768, 0.017176
QuickSort, OpenMP, 6, 32768, 0.011157
QuickSort, OpenMP, 7, 32768, 0.010059
QuickSort, OpenMP, 8, 32768, 0.013649
QuickSort, OpenMP, 16, 32768, 0.010877
QuickSort, OpenMP, 32, 32768, 0.018903
Sample Sort, OpenMP, 1, 32768, 0.006632
Sample Sort, OpenMP, 2, 32768, 0.005086
Sample Sort, OpenMP, 3, 32768, 0.004393
Sample Sort, OpenMP, 4, 32768, 0.007328
Sample Sort, OpenMP, 5, 32768, 0.009449
Sample Sort, OpenMP, 6, 32768, 0.010861
Sample Sort, OpenMP, 7, 32768, 0.012118
Sample Sort, OpenMP, 8, 32768, 0.011274
Sample Sort, OpenMP, 16, 32768, 0.011306
Sample Sort, OpenMP, 32, 32768, 0.012589
TimSort, OpenMP, 1, 32768, 0.003818
TimSort, OpenMP, 2, 32768, 0.003816
TimSort, OpenMP, 3, 32768, 0.002884
TimSort, OpenMP, 4, 32768, 0.006257
TimSort, OpenMP, 5, 32768, 0.004203
TimSort, OpenMP, 6, 32768, 0.004373
TimSort, OpenMP, 7, 32768, 0.005330
TimSort, OpenMP, 8, 32768, 0.005269
TimSort, OpenMP, 16, 32768, 0.005010
TimSort, OpenMP, 32, 32768, 0.007773
Bitonic Sort, OpenMP, 1, 32768, 0.025203
Bitonic Sort, OpenMP, 2, 32768, 0.017049
Bitonic Sort, OpenMP, 3, 32768, 0.014195
Bitonic Sort, OpenMP, 4, 32768, 0.014071
Bitonic Sort, OpenMP, 5, 32768, 0.012233
Bitonic Sort, OpenMP, 6, 32768, 0.013208
Bitonic Sort, OpenMP, 7, 32768, 0.017810
Bitonic Sort, OpenMP, 8, 32768, 0.014946
Bitonic Sort, OpenMP, 16, 32768, 0.014015
Bitonic Sort, OpenMP, 32, 32768, 0.015569
MergeSort, OpenMP, 1, 32768, 0.006294
MergeSort, OpenMP, 2, 32768, 0.004135
MergeSort, OpenMP, 3, 32768, 0.005027
MergeSort, OpenMP, 4, 32768, 0.003828
MergeSort, OpenMP, 5, 32768, 0.003029
MergeSort, OpenMP, 6, 32768, 0.003549
MergeSort, OpenMP, 7, 32768, 0.003466
MergeSort, OpenMP, 8, 32768, 0.004368
MergeSort, OpenMP, 16, 32768, 0.014386
MergeSort, OpenMP, 32, 32768, 0.015240
QuickSort, OpenMP, 1, 32768, 0.012856
QuickSort, OpenMP, 2, 32768, 0.014977
QuickSort, OpenMP, 3, 32768, 0.018268
QuickSort, OpenMP, 4, 32768, 0.010936
QuickSort, OpenMP, 5, 32768, 0.011380
QuickSort, OpenMP, 6, 32768, 0.009040
