Algorithm,Implementation,Thread Count,Elements,Time
TimSort, OpenMP, 1, 1048576, 0.163502
TimSort, OpenMP, 2, 1048576, 0.097989
TimSort, OpenMP, 3, 1048576, 0.076239
TimSort, OpenMP, 4, 1048576, 0.070307
TimSort, OpenMP, 5, 1048576, 0.064933
TimSort, OpenMP, 6, 1048576, 0.060210
TimSort, OpenMP, 7, 1048576, 0.059663
TimSort, OpenMP, 8, 1048576, 0.061239
TimSort, OpenMP, 16, 1048576, 0.065092
TimSort, OpenMP, 32, 1048576, 0.069308
Bitonic Sort, OpenMP, 1, 1048576, 1.054228
Bitonic Sort, OpenMP, 2, 1048576, 0.606013
Bitonic Sort, OpenMP, 3, 1048576, 0.554787
Bitonic Sort, OpenMP, 4, 1048576, 0.487622
Bitonic Sort, OpenMP, 5, 1048576, 0.428929
Bitonic Sort, OpenMP, 6, 1048576, 0.439992
Bitonic Sort, OpenMP, 7, 1048576, 0.390935
Bitonic Sort, OpenMP, 8, 1048576, 0.480195
Bitonic Sort, OpenMP, 16, 1048576, 0.391924
Bitonic Sort, OpenMP, 32, 1048576, 0.378729
MergeSort, OpenMP, 1, 1048576, 0.233654
MergeSort, OpenMP, 2, 1048576, 0.132904
MergeSort, OpenMP, 3, 1048576, 0.130504
MergeSort, OpenMP, 4, 1048576, 0.094996
MergeSort, OpenMP, 5, 1048576, 0.092638
MergeSort, OpenMP, 6, 1048576, 0.082673
MergeSort, OpenMP, 7, 1048576, 0.078326
MergeSort, OpenMP, 8, 1048576, 0.085605
MergeSort, OpenMP, 16, 1048576, 0.081945
MergeSort, OpenMP, 32, 1048576, 0.082939
QuickSort, OpenMP, 1, 1048576, 0.490169
QuickSort, OpenMP, 2, 1048576, 0.329521
QuickSort, OpenMP, 3, 1048576, 0.315023
QuickSort, OpenMP, 4, 1048576, 0.290149
QuickSort, OpenMP, 5, 1048576, 0.300269
QuickSort, OpenMP, 6, 1048576, 0.373365
QuickSort, OpenMP, 7, 1048576, 0.296056
QuickSort, OpenMP, 8, 1048576, 0.240407
QuickSort, OpenMP, 16, 1048576, 0.361929
QuickSort, OpenMP, 32, 1048576, 0.499488
Sample Sort, OpenMP, 1, 1048576, 0.286426
Sample Sort, OpenMP, 2, 1048576, 0.322091
Sample Sort, OpenMP, 3, 1048576, 0.194574
Sample Sort, OpenMP, 4, 1048576, 0.310930
Sample Sort, OpenMP, 5, 1048576, 0.229085
Sample Sort, OpenMP, 6, 1048576, 0.318722
Sample Sort, OpenMP, 7, 1048576, 0.294636
Sample Sort, OpenMP, 8, 1048576, 0.230109
