Algorithm,Implementation,Thread Count,Elements,Time
TimSort, OpenMP, 1, 1048576, 0.232609
TimSort, OpenMP, 2, 1048576, 0.092774
TimSort, OpenMP, 3, 1048576, 0.141782
TimSort, OpenMP, 4, 1048576, 0.081298
TimSort, OpenMP, 5, 1048576, 0.091241
TimSort, OpenMP, 6, 1048576, 0.060961
TimSort, OpenMP, 7, 1048576, 0.061371
TimSort, OpenMP, 8, 1048576, 0.055197
TimSort, OpenMP, 16, 1048576, 0.061231
TimSort, OpenMP, 32, 1048576, 0.089518
Bitonic Sort, OpenMP, 1, 1048576, 1.102365
Bitonic Sort, OpenMP, 2, 1048576, 0.664483
Bitonic Sort, OpenMP, 3, 1048576, 0.535092
Bitonic Sort, OpenMP, 4, 1048576, 0.477171
Bitonic Sort, OpenMP, 5, 1048576, 0.451079
Bitonic Sort, OpenMP, 6, 1048576, 0.405704
Bitonic Sort, OpenMP, 7, 1048576, 0.400516
Bitonic Sort, OpenMP, 8, 1048576, 0.473390
Bitonic Sort, OpenMP, 16, 1048576, 0.409932
Bitonic Sort, OpenMP, 32, 1048576, 0.418965
MergeSort, OpenMP, 1, 1048576, 0.242394
MergeSort, OpenMP, 2, 1048576, 0.126813
MergeSort, OpenMP, 3, 1048576, 0.139324
MergeSort, OpenMP, 4, 1048576, 0.110808
MergeSort, OpenMP, 5, 1048576, 0.111429
MergeSort, OpenMP, 6, 1048576, 0.087958
MergeSort, OpenMP, 7, 1048576, 0.084940
MergeSort, OpenMP, 8, 1048576, 0.083437
MergeSort, OpenMP, 16, 1048576, 0.085283
MergeSort, OpenMP, 32, 1048576, 0.084025
QuickSort, OpenMP, 1, 1048576, 0.507206
QuickSort, OpenMP, 2, 1048576, 0.356800
QuickSort, OpenMP, 3, 1048576, 0.341268
QuickSort, OpenMP, 4, 1048576, 0.322072
QuickSort, OpenMP, 5, 1048576, 0.345824
QuickSort, OpenMP, 6, 1048576, 0.399545
QuickSort, OpenMP, 7, 1048576, 0.279046
QuickSort, OpenMP, 8, 1048576, 0.256416
QuickSort, OpenMP, 16, 1048576, 0.415345
QuickSort, OpenMP, 32, 1048576, 0.482344
Sample Sort, OpenMP, 1, 1048576, 0.290889
Sample Sort, OpenMP, 2, 1048576, 0.336347
Sample Sort, OpenMP, 3, 1048576, 0.212780
Sample Sort, OpenMP, 4, 1048576, 0.240329
Sample Sort, OpenMP, 5, 1048576, 0.379523
Sample Sort, OpenMP, 6, 1048576, 0.252063
Sample Sort, OpenMP, 7, 1048576, 0.295295
Sample Sort, OpenMP, 8, 1048576, 0.273213
Sample Sort, OpenMP, 16, 1048576, 0.197285
Sample Sort, OpenMP, 32, 1048576, 0.323126
TimSort, OpenMP, 1, 1048576, 0.174460
TimSort, OpenMP, 2, 1048576, 0.108609
TimSort, OpenMP, 3, 1048576, 0.086713
TimSort, OpenMP, 4, 1048576, 0.079753
TimSort, OpenMP, 5, 1048576, 0.080364
